versionOrder,versionPageStart,versionPageEnd,date,pageCount,title,documentType,sourceClass,lane,matches,sourceUrl,pdfUrl,sourceNote
83,438,444,1997-02-07,7,"Meeting with Russian Prime Minister Viktor Chernomyrdin: March Summit, GCC Results, European Security, START, Economics",Memorandum of conversation,clinton-library-mdr,constraints/diplomacy,nato-expansion,https://clinton.presidentiallibraries.us/items/show/57563,https://clinton.presidentiallibraries.us/files/original/369537c192017e6b05f68d908f1a75e8.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0755-M, Clinton Digital Library PDF pages 222-228. Confidential."
84,445,449,1997-02-07,5,Points to Be Made for Meeting with Russian Prime Minister Chernomyrdin,Presidential talking points,clinton-library-mdr,constraints/diplomacy,nato-expansion,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 286-290. Secret."
85,450,452,1997-02-27,3,"Telephone call with President Boris Yeltsin of Russia, February 27, 1997, White House",Memorandum of telephone conversation,clinton-library-mdr,constraints/diplomacy,nato-expansion,https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf,"Source: Clinton Presidential Records, Meetings and Telephone Calls with Foreign Leaders, Mandatory Declassification Review 2015-0782-M-2, Clinton Library PDF pages 87-89. Confidential."
86,453,454,1997-03-18,2,Pre-Brief on Helsinki Summit with Russian President Yeltsin,Presidential meeting brief,clinton-library-mdr,constraints/diplomacy,invitation-round,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 379-380. Confidential."
87,455,458,1997-03-21,4,Joint U.S.-Russian Statement on European Security,Joint presidential statement,clinton-library-mdr,constraints/diplomacy,nato-expansion,https://clinton.presidentiallibraries.us/items/show/57563,https://clinton.presidentiallibraries.us/files/original/369537c192017e6b05f68d908f1a75e8.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0755-M, Clinton Digital Library PDF pages 239-242."
88,459,462,1997-03-25,4,Russian Reactions to Helsinki,Cable,clinton-library-mdr,constraints/diplomacy,nato-expansion,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 139-142."
89,463,464,1997-04-15,2,Inviting Partners to Madrid,NSC information memorandum,clinton-library-mdr,whether/whom/when,invitation-round,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 389-390. Secret."
90,465,470,1997-05-30,6,Costs of NATO Enlargement,Presidential information memorandum with attached congressional report summary,clinton-library-mdr,how/process,nato-expansion; ratification-accession,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 432-437. Unclassified."
91,471,472,1997-06,2,President Clinton to Prime Minister Drnovsek on NATO Enlargement and the Open Door,Presidential reply draft,clinton-library-mdr,future rounds/open door,nato-expansion; open-door-map,https://clinton.presidentiallibraries.us/items/show/57563,https://clinton.presidentiallibraries.us/files/original/369537c192017e6b05f68d908f1a75e8.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0755-M, Clinton Digital Library PDF pages 265-266."
92,473,478,1997-06-09,6,Deciding Which Countries to Support for NATO Membership at the Madrid Summit,Presidential action memorandum,clinton-library-mdr,whether/whom/when,membership-accession; invitation-round; open-door-map,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 445-450. Secret."
93,479,480,1997-06-12,2,Chancellor Kohl and Romania's NATO Candidacy,Cable,clinton-library-mdr,candidate-state cases,membership-accession,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 147-148. Nodis."
